duracion;release_difference;total_views;shares_first_day;shares_first_month;shares_first_week;total_shares;total_users;active_users;new_users;active_raffles;release_difference_hours;release_difference_days;active_canjes;active_shares;penetracion
188;1390405;26;5;10;7;10;2093;141;43;7;386.2;16;2;10;0.49
267;249941;43;6;8;8;8;2095;181;45;7;69.4;3;1;8;0.65
637;1417418;5;7;8;8;8;2096;168;46;7;393.7;16;3;8;0.51
157;288;24;8;21;15;23;2096;148;46;7;0.1;0;0;23;0.45
97;253867;39;7;25;11;28;2097;135;42;8;70.5;3;2;28;0.78
198;1592;15;6;8;8;8;2097;155;41;8;0.4;0;2;8;0.74
57;132;223;17;55;32;89;2097;137;37;7;0;0;1;119;0.87
88;17713;21;6;16;12;16;2106;152;41;7;4.9;0;2;16;0.71
127;262741;22;4;7;7;7;2108;176;43;7;73;3;0;7;0.57
67;18775;76;4;22;14;24;2110;144;43;7;5.2;0;2;24;0.54
61;46376;21;6;10;10;10;2112;126;44;7;12.9;1;3;10;0.73
46;620415;23;2;9;7;10;2114;194;46;7;172.3;7;0;10;0.39
169;3865;5;2;7;6;7;2115;191;45;7;1.1;0;1;7;0.53
